,Actual_Temperature,Predicted_Temperature
382,4.0,2.6045976
383,5.705555,4.04019
384,0.71111125,6.477512
385,0.13888846,2.2409172
386,1.3999997,1.5273887
387,0.53333294,2.6629727
388,4.8,1.5432482
389,11.67222,5.699129
390,13.961111,15.554232
391,16.161112,16.005941
392,17.666666,16.506554
393,18.961111,17.785593
394,20.072222,19.3614
395,20.122223,19.990185
396,21.22778,19.82681
397,21.205557,20.238874
398,21.244446,20.95571
399,20.16111,21.14189
400,17.983332,19.725822
401,15.388889,17.466778
402,9.166668,14.722233
403,9.472223,8.660637
404,6.9611106,7.6157746
405,7.2055554,6.9565797
406,4.5888896,7.709147
407,10.033333,5.29242
408,4.0833335,9.703238
409,3.0166676,5.405145
410,4.838888,3.9841866
411,5.0722218,5.746912
412,9.900001,7.68167
413,14.37778,11.80531
414,14.144445,16.746738
415,13.261109,15.303792
416,14.188887,12.630182
417,16.572222,14.04359
418,21.322222,17.137749
419,22.11111,23.474756
420,22.822224,23.394976
421,22.194447,22.936686
422,22.361109,21.70854
423,19.022223,21.485725
424,17.150002,18.527222
425,17.294445,16.06403
426,15.96111,17.87433
427,14.833332,15.894718
428,13.916666,14.304033
429,12.655555,13.117861
430,11.477778,12.254412
431,9.977777,11.107398
432,7.8277774,9.775895
433,7.755555,8.711327
434,8.261111,8.149922
435,6.2499995,9.271807
436,9.933334,7.4919934
437,12.150002,10.389261
438,12.9333315,13.857996
439,13.98889,14.329626
440,13.633333,15.013741
441,12.977777,14.522824
442,16.288889,12.830834
443,17.344442,17.474741
444,17.866667,18.4336
445,17.866667,18.300198
446,16.588888,17.81878
447,15.127779,15.930032
448,14.161112,14.619545
449,14.155557,13.939382
450,12.750001,14.466061
451,11.638889,12.869606
